0,"[('want', 0.029259338974952698), ('like', 0.022091751918196678), ('would', 0.021503109484910965), ('think', 0.020464329048991203), ('saying', 0.01838676631450653), ('bad', 0.016309205442667007), ('get', 0.015720563009381294), ('team', 0.01419701799750328), ('make', 0.012292586266994476), ('say', 0.011738569475710392), ('need', 0.011288431473076344), ('point', 0.010561284609138966), ('work', 0.010457406751811504), ('matter', 0.01018039882183075), ('going', 0.010145772248506546), ('good', 0.010076520033180714), ('either', 0.009176244027912617), ('try', 0.008483722805976868), ('feel', 0.008345218375325203), ('look', 0.008206714875996113), ('know', 0.007860453799366951), ('mean', 0.007687324192374945), ('else', 0.007687324192374945), ('situation', 0.00754881976172328), ('shit', 0.007514194119721651), ('making', 0.007479568012058735), ('maybe', 0.0070986817590892315), ('reason', 0.006752421148121357), ('understand', 0.00619840482249856), ('worse', 0.0060599008575081825), ('big', 0.005956022534519434), ('cost', 0.005956022534519434), ('least', 0.005748266354203224), ('well', 0.005575136281549931), ('enough', 0.005540510173887014), ('never', 0.0055058845318853855), ('real', 0.0055058845318853855), ('trying', 0.005436632316559553), ('alone', 0.005367380101233721), ('may', 0.005090372171252966)]"
1,"[('queen', 0.04462190717458725), ('british', 0.027263876050710678), ('monarchy', 0.020987525582313538), ('uk', 0.020497184246778488), ('royal', 0.018830029293894768), ('family', 0.016574466601014137), ('people', 0.015986058861017227), ('monarch', 0.012847883626818657), ('country', 0.012455612421035767), ('king', 0.011671069078147411), ('charles', 0.009121301583945751), ('death', 0.009023233316838741), ('political', 0.009023233316838741), ('state', 0.008729029446840286), ('died', 0.008434825576841831), ('tory', 0.008336758241057396), ('george', 0.008140621706843376), ('world', 0.007944486103951931), ('head', 0.0074541461654007435), ('power', 0.007356078363955021), ('elizabeth', 0.007258010096848011), ('day', 0.007061874493956566), ('respect', 0.006571534555405378), ('party', 0.006179262418299913), ('conservative', 0.005983126349747181), ('life', 0.005492786411195993), ('god', 0.005492786411195993), ('black', 0.005394718609750271), ('right', 0.005394718609750271), ('empire', 0.005296650808304548), ('long', 0.005100514739751816), ('britain', 0.005100514739751816), ('minute', 0.005100514739751816), ('would', 0.005002446938306093), ('commonwealth', 0.005002446938306093), ('old', 0.005002446938306093), ('silence', 0.004904378671199083), ('mourning', 0.004806310869753361), ('government', 0.004708243068307638), ('public', 0.004708243068307638)]"
2,"[('yellow', 0.07256539911031723), ('livery', 0.057552170008420944), ('ferrari', 0.037092968821525574), ('red', 0.032677315175533295), ('look', 0.026789775118231773), ('white', 0.022079743444919586), ('would', 0.018841596320271492), ('like', 0.01707533560693264), ('color', 0.016339393332600594), ('colour', 0.015456262975931168), ('black', 0.014573131687939167), ('rear', 0.01280687004327774), ('full', 0.011923739686608315), ('special', 0.011040608398616314), ('race', 0.010010289028286934), ('think', 0.00868559256196022), ('paint', 0.00868559256196022), ('amg', 0.00868559256196022), ('sponsor', 0.008244026452302933), ('blue', 0.008244026452302933), ('nice', 0.008096838369965553), ('mercedes', 0.007655272725969553), ('racing', 0.007508084177970886), ('medium', 0.00721370754763484), ('silver', 0.00677214190363884), ('one', 0.00677214190363884), ('good', 0.006624953355640173), ('logo', 0.006624953355640173), ('eagle', 0.00618338817730546), ('suit', 0.0058890110813081264), ('make', 0.0058890110813081264), ('run', 0.0058890110813081264), ('something', 0.00574182253330946), ('monza', 0.005447445437312126), ('italian', 0.00515306880697608), ('pig', 0.005005880258977413), ('renault', 0.004858691710978746), ('looked', 0.00471150316298008), ('gp', 0.00471150316298008), ('much', 0.0045643150806427)]"
3,"[('latifi', 0.06714639812707901), ('vries', 0.05064583942294121), ('de', 0.048739831894636154), ('williams', 0.04574467986822128), ('nyck', 0.031966980546712875), ('driver', 0.029843147844076157), ('albon', 0.028318343684077263), ('car', 0.02575884945690632), ('goat', 0.02074877731502056), ('f1', 0.016283279284834862), ('seat', 0.01590207777917385), ('point', 0.012689095921814442), ('good', 0.011055377312004566), ('get', 0.01094646193087101), ('year', 0.010837547481060028), ('next', 0.0099662309512496), ('guy', 0.008877084590494633), ('drive', 0.008768170140683651), ('f2', 0.008550341241061687), ('one', 0.008550341241061687), ('need', 0.008169139735400677), ('like', 0.007842396385967731), ('last', 0.007733481470495462), ('russell', 0.007515652105212212), ('make', 0.007134451065212488), ('alex', 0.006698793265968561), ('weekend', 0.005990847945213318), ('got', 0.005936390720307827), ('chance', 0.005881933495402336), ('season', 0.005827476270496845), ('fe', 0.0055551896803081036), ('someone', 0.005282903090119362), ('20', 0.005282903090119362), ('monza', 0.005228445865213871), ('worst', 0.00517398864030838), ('sargeant', 0.005119531415402889), ('rookie', 0.005065073724836111), ('go', 0.004956159275025129), ('driving', 0.004956159275025129), ('give', 0.0049017020501196384)]"
4,"[('country', 0.05170031636953354), ('american', 0.02525581791996956), ('u', 0.023140257224440575), ('f1', 0.018248025327920914), ('america', 0.017983580008149147), ('south', 0.017322467640042305), ('europe', 0.015735799446702003), ('european', 0.015735799446702003), ('world', 0.014810241758823395), ('north', 0.013223571702837944), ('dog', 0.010050231590867043), ('day', 0.00978578720241785), ('right', 0.009124674834311008), ('http', 0.009124674834311008), ('east', 0.008992452174425125), ('usa', 0.008463562466204166), ('west', 0.008066894486546516), ('city', 0.007934671826660633), ('government', 0.007670226506888866), ('germany', 0.007405781652778387), ('human', 0.006744669284671545), ('tax', 0.006744669284671545), ('bring', 0.006612446624785662), ('western', 0.006612446624785662), ('population', 0.006348001770675182), ('german', 0.006215779110789299), ('crime', 0.00595133425667882), ('nation', 0.005819111596792936), ('war', 0.005422444082796574), ('continent', 0.005422444082796574), ('australia', 0.005290221888571978), ('hosting', 0.005157999228686094), ('shot', 0.005025776568800211), ('fia', 0.005025776568800211), ('event', 0.004893554374575615), ('attack', 0.004761331714689732), ('main', 0.004629109054803848), ('economic', 0.004629109054803848), ('support', 0.004629109054803848), ('fine', 0.004496886860579252)]"
5,"[('team', 0.12147887796163559), ('money', 0.023151196539402008), ('new', 0.019083503633737564), ('f1', 0.018782194703817368), ('sauber', 0.01853110082447529), ('audi', 0.016572583466768265), ('name', 0.014463408850133419), ('sport', 0.01396122481673956), ('would', 0.013358604162931442), ('williams', 0.013107512146234512), ('engine', 0.012755981646478176), ('could', 0.011550739407539368), ('alfa', 0.011500521562993526), ('haas', 0.011249429546296597), ('sponsor', 0.011048555374145508), ('budget', 0.010797463357448578), ('cap', 0.010596590116620064), ('even', 0.009692657738924026), ('50', 0.00888916291296482), ('cost', 0.007935013622045517), ('make', 0.0073323920369148254), ('another', 0.006729770917445421), ('manufacturer', 0.006729770917445421), ('come', 0.006428460590541363), ('german', 0.006328023970127106), ('going', 0.006177368573844433), ('grid', 0.006177368573844433), ('control', 0.0058258394710719585), ('development', 0.0058258394710719585), ('year', 0.0058258394710719585), ('facility', 0.00527343712747097), ('3', 0.00527343712747097), ('chassis', 0.005223218351602554), ('partnership', 0.005173000041395426), ('right', 0.004972126334905624), ('bmw', 0.004972126334905624), ('factory', 0.004871689714491367), ('martin', 0.004269068595021963), ('winning', 0.004218849819153547), ('bring', 0.004218849819153547)]"
6,"[('porsche', 0.0664285346865654), ('engine', 0.04892655462026596), ('honda', 0.045062482357025146), ('f1', 0.02523069456219673), ('audi', 0.02273041196167469), ('red', 0.021537095308303833), ('bull', 0.020741550251841545), ('car', 0.0172752495855093), ('want', 0.016707003116607666), ('company', 0.014604493044316769), ('would', 0.012672455050051212), ('andretti', 0.011649612337350845), ('mercedes', 0.010967717505991459), ('manufacturer', 0.010399471037089825), ('buy', 0.009717576205730438), ('deal', 0.009490277618169785), ('ferrari', 0.009206154383718967), ('2026', 0.0081833116710186), ('back', 0.007558240555226803), ('rbpt', 0.0073877670802176), ('sauber', 0.00710364431142807), ('wanted', 0.006989995017647743), ('already', 0.006876345723867416), ('work', 0.006876345723867416), ('racing', 0.006592222955077887), ('mclaren', 0.00647857366129756), ('like', 0.006251275073736906), ('new', 0.006194450426846743), ('power', 0.006194450426846743), ('sell', 0.006194450426846743), ('romeo', 0.005910327658057213), ('build', 0.005796678364276886), ('brand', 0.005796678364276886), ('partner', 0.005683029070496559), ('buying', 0.005512555129826069), ('still', 0.005512555129826069), ('vw', 0.005398906301707029), ('take', 0.005114783067256212), ('motorsport', 0.004830659832805395), ('run', 0.004830659832805395)]"
7,"[('contract', 0.06325500458478928), ('piastri', 0.03547723963856697), ('williams', 0.02681582421064377), ('alpine', 0.026509612798690796), ('signed', 0.022222651168704033), ('seat', 0.018591856583952904), ('would', 0.017848199233412743), ('rookie', 0.015048550441861153), ('deal', 0.01456736121326685), ('academy', 0.013561236672103405), ('mclaren', 0.013036303222179413), ('2023', 0.011024054139852524), ('junior', 0.010499120689928532), ('drive', 0.009974186308681965), ('driving', 0.00839938409626484), ('right', 0.008268150500953197), ('oscar', 0.007305771112442017), ('pay', 0.007174537517130375), ('signing', 0.007043303921818733), ('driver', 0.0066933478228747845), ('win', 0.006387135945260525), ('million', 0.006124669220298529), ('thought', 0.006080924533307552), ('reserve', 0.005905946716666222), ('around', 0.005862202029675245), ('thing', 0.005381012801080942), ('lawyer', 0.0052935234270989895), ('already', 0.005206034518778324), ('career', 0.005162290297448635), ('leave', 0.0050748009234666824), ('clause', 0.005031056702136993), ('got', 0.004987312015146017), ('case', 0.004812334198504686), ('tweet', 0.004593611229211092), ('agreement', 0.004506122320890427), ('go', 0.004418633412569761), ('talking', 0.004199910908937454), ('left', 0.004156166221946478), ('buy', 0.004112422000616789), ('sign', 0.0040686773136258125)]"
8,"[('f1', 0.05778001993894577), ('f2', 0.0425250306725502), ('series', 0.025026660412549973), ('f3', 0.02203548513352871), ('formula', 0.02044019103050232), ('racing', 0.01899445801973343), ('much', 0.01575401797890663), ('got', 0.015255489386618137), ('champion', 0.015205636620521545), ('career', 0.015205636620521545), ('season', 0.015056077390909195), ('championship', 0.014358136802911758), ('enough', 0.012064902111887932), ('talent', 0.011666079051792622), ('experience', 0.011366961523890495), ('5', 0.010918285697698593), ('talented', 0.009821521118283272), ('one', 0.009173433296382427), ('level', 0.009023874998092651), ('time', 0.008724757470190525), ('like', 0.008724757470190525), ('current', 0.00807666964828968), ('world', 0.007378729060292244), ('driver', 0.007229170296341181), ('top', 0.006630935240536928), ('standing', 0.006381670478731394), ('real', 0.006232112180441618), ('behind', 0.0058831418864429), ('champ', 0.005584024358540773), ('good', 0.005584024358540773), ('result', 0.005584024358540773), ('far', 0.005384612828493118), ('2', 0.005284906830638647), ('max', 0.005085495300590992), ('coming', 0.004886083770543337), ('1', 0.004886083770543337), ('best', 0.004736525006592274), ('2nd', 0.004736525006592274), ('spot', 0.004736525006592274), ('performance', 0.0045869662426412106)]"
9,"[('mercedes', 0.03227032348513603), ('ferrari', 0.030219538137316704), ('floor', 0.029133828356862068), ('merc', 0.02388622798025608), ('engine', 0.023524325340986252), ('team', 0.0227402001619339), ('year', 0.020146559923887253), ('fia', 0.016286257654428482), ('rb', 0.014838642440736294), ('season', 0.013511663302779198), ('rule', 0.013511663302779198), ('next', 0.01212436705827713), ('bull', 0.012003731913864613), ('wing', 0.011521194130182266), ('change', 0.01037516724318266), ('downforce', 0.009892629459500313), ('regulation', 0.009771994315087795), ('new', 0.009771994315087795), ('design', 0.009229139424860477), ('would', 0.0084450151771307), ('budget', 0.008384698070585728), ('td', 0.008264063857495785), ('fuel', 0.00772120850160718), ('red', 0.0076608918607234955), ('toto', 0.0075402576476335526), ('cap', 0.007419622968882322), ('aero', 0.006997402291744947), ('cheating', 0.006937085185199976), ('part', 0.006695816293358803), ('high', 0.006333912722766399), ('run', 0.006273595616221428), ('car', 0.0062132785096764565), ('last', 0.005670423153787851), ('weight', 0.0051275682635605335), ('win', 0.005067250691354275), ('newey', 0.005006933584809303), ('spa', 0.004946616478264332), ('could', 0.00488629937171936), ('porpoising', 0.004825981799513102), ('power', 0.004705347586423159)]"
