0,"[('people', 0.09550996869802475), ('fan', 0.0747484415769577), ('medium', 0.03391742333769798), ('social', 0.032533321529626846), ('sport', 0.03184127062559128), ('twitter', 0.03114921972155571), ('hannah', 0.03045716881752014), ('f1', 0.024228708818554878), ('hate', 0.02353665791451931), ('shit', 0.020768454298377037), ('woman', 0.02007640339434147), ('bull', 0.0193843524903059), ('football', 0.018692299723625183), ('red', 0.018000248819589615), ('toxic', 0.017308197915554047)]"
1,"[('lewis', 0.10071869194507599), ('alonso', 0.08455446362495422), ('hamilton', 0.0413462296128273), ('said', 0.030155612155795097), ('radio', 0.028290510177612305), ('driver', 0.028290510177612305), ('say', 0.027047106996178627), ('drama', 0.023938601836562157), ('moment', 0.02238434925675392), ('medium', 0.021140946075320244), ('heat', 0.019897544756531715), ('fernando', 0.018964990973472595), ('ted', 0.01834329031407833), ('comment', 0.01523478515446186), ('like', 0.01523478515446186)]"
2,"[('marko', 0.1446658968925476), ('south', 0.0643058642745018), ('american', 0.05894853174686432), ('helmut', 0.05180542543530464), ('racist', 0.042876534163951874), ('america', 0.042876534163951874), ('checo', 0.037519197911024094), ('say', 0.033947642892599106), ('mexico', 0.033947642892599106), ('bull', 0.028590308502316475), ('red', 0.028590308502316475), ('north', 0.02680453099310398), ('perez', 0.025018751621246338), ('agree', 0.02144719660282135), ('ups', 0.02144719660282135)]"
3,"[('track', 0.06853266060352325), ('monaco', 0.0632614940404892), ('f1', 0.05723730847239494), ('audi', 0.05271916836500168), ('spa', 0.04067079350352287), ('race', 0.03991777077317238), ('money', 0.03615265339612961), ('sauber', 0.03389358147978783), ('racing', 0.03314055874943733), ('year', 0.03163451328873634), ('news', 0.022598233073949814), ('calendar', 0.02184520848095417), ('alfa', 0.02033916302025318), ('sport', 0.017327068373560905), ('romeo', 0.01657404564321041)]"
4,"[('max', 0.18156391382217407), ('bull', 0.05496672913432121), ('checo', 0.0539853572845459), ('red', 0.04809711501002312), ('perez', 0.03730200603604317), ('rb', 0.029451020061969757), ('verstappen', 0.028469646349549294), ('question', 0.02258140593767166), ('marko', 0.021600032225251198), ('answer', 0.021600032225251198), ('keanu', 0.021600032225251198), ('redbull', 0.020618658512830734), ('newey', 0.018655911087989807), ('also', 0.017674537375569344), ('chinese', 0.017674537375569344)]"
5,"[('f1', 0.08706796914339066), ('driver', 0.07734024524688721), ('point', 0.051561787724494934), ('indycar', 0.049616243690252304), ('herta', 0.03697020560503006), ('system', 0.03648382052779198), ('fia', 0.03453827649354935), ('series', 0.03113357350230217), ('super', 0.02870164066553116), ('license', 0.02724248170852661), ('f2', 0.02724248170852661), ('american', 0.025783324614167213), ('sl', 0.025783324614167213), ('rule', 0.02140584960579872), ('indy', 0.015569216571748257)]"
6,"[('win', 0.058736853301525116), ('ferrari', 0.0340905524790287), ('spa', 0.028846656903624535), ('mclaren', 0.02779787965118885), ('hamilton', 0.02517593279480934), ('first', 0.022553985938429832), ('race', 0.021505206823349), ('one', 0.020980816334486008), ('mercedes', 0.020980816334486008), ('2021', 0.019407648593187332), ('schumacher', 0.01888325996696949), ('williams', 0.016785701736807823), ('lewis', 0.01626131311058998), ('dnfs', 0.01573692448437214), ('red', 0.015212534926831722)]"
7,"[('ferrari', 0.15559343993663788), ('pit', 0.039365313947200775), ('charles', 0.03787996992468834), ('strategy', 0.03268126770853996), ('leclerc', 0.028225239366292953), ('lap', 0.02785390242934227), ('point', 0.02525455132126808), ('fastest', 0.024511879310011864), ('team', 0.02414054423570633), ('tire', 0.020798519253730774), ('binotto', 0.020055849105119705), ('tyre', 0.01857050508260727), ('fuck', 0.01857050508260727), ('stop', 0.018199170008301735), ('mistake', 0.015599817968904972)]"
8,"[('f2', 0.12276147305965424), ('series', 0.08050625026226044), ('trophy', 0.05636041611433029), ('indycar', 0.05636041611433029), ('indy', 0.05636041611433029), ('seat', 0.050323955714702606), ('f1', 0.04428749531507492), ('wood', 0.04227534309029579), ('tree', 0.038251034915447235), ('recycled', 0.038251034915447235), ('champion', 0.03020242229104042), ('water', 0.024165961891412735), ('harder', 0.024165961891412735), ('circuit', 0.01611734926700592), ('nascar', 0.01611734926700592)]"
9,"[('red', 0.03387957811355591), ('bull', 0.03226665034890175), ('fly', 0.03065371885895729), ('toto', 0.028234325349330902), ('horner', 0.028234325349330902), ('engineer', 0.026621395722031593), ('detail', 0.025814931839704514), ('love', 0.025008467957377434), ('cap', 0.024202004075050354), ('new', 0.023395538330078125), ('budget', 0.023395538330078125), ('room', 0.020976144820451736), ('floor', 0.018556751310825348), ('ferrari', 0.017750287428498268), ('fia', 0.01694382168352604)]"
