inzbet2,monza,lmao mic work plane early almost like ferrari charge weekend,116,1662900463.0
inzbvg5,monza,need win anymore,94,1662900694.0
inziio3,monza,go fuck daniel ricciardo 2022,95,1662903858.0
inzilf3,monza,daniel would mind compromising race driving slower lando race improve,94,1662903890.0
inzigbs,monza,bruh mclaren asking ricciardo hold gasly lando incoming stop,73,1662903831.0
inziqfj,monza,mclaren giving ricciardo shit strategy go hand hand literally every race,69,1662903947.0
inzigk6,monza,please play ricciardos reply shit ahead,69,1662903834.0
inzgegv,monza,may well die laughing de vries score point overtakes latifi standing,58,1662902925.0
inzbyk1,monza,need win anymore want win max cold af,276,1662900739.0
inzbqib,monza,star trek taught anything ferrari wearing yellow shirt instead red shirt help odds,51,1662900623.0
inzihqy,monza,get fucked mate danny ric definitely,52,1662903848.0
inzb9ta,monza,jesus christ anything organised well italy,136,1662900388.0
inzdzc1,monza,red bull need win race today max gonna win anyways,50,1662901793.0
inziist,monza,tell go fuck daniel,49,1662903860.0
inzkm9y,monza,daniel get shit strategy stop daniel literally said tyre ok let bring give crap tyre anyway,47,1662904741.0
inzq2ky,monza,hope people realize ferrari spot strategy today nothing could done,41,1662906886.0
inzb98e,monza,na ruin bocelli performance italian anthem still clear,122,1662900380.0
inzeyve,monza,charles want full wet question,111,1662902292.0
inziq67,monza,mclaren right ferrari boneheaded decision swear god,38,1662903944.0
inznsyf,monza,ending sc fine pretty high level incompetence getting sc time getting car moved reasonable amount time,37,1662906017.0
inzpgj3,monza,de vries pit radio go boyo p9 de vries wow wow thank much incredible point debut thank pit great job jost great job nyck fantastic much deserving de vries jost thank much appreciated shoulder dead dead,33,1662906644.0
inzqgtm,monza,max saying many sponsor lol,35,1662907035.0
inzqy93,monza,shout george giving max little bit arm squeeze walked mass boo,34,1662907221.0
inzbxgb,monza,max break heart verstappen,37,1662900723.0
inzh8j9,monza,ferrari pitwall carlo sign want pitstop,36,1662903288.0
inzjgc5,monza,alonso smart as knew something wrong ahead engineer,30,1662904259.0
inzlrui,monza,de vries giving great account weekend regardless whether pick point today really putting spotlight,29,1662905213.0
inzo7e0,monza,de vries p9 latifi p15 think say driver,31,1662906167.0
inzogmp,monza,masi would snorted line said fuck top 5 drag race finish,32,1662906258.0
inzrdus,monza,george kind guy organizes placement podium photo,31,1662907387.0
inzbydh,monza,need win lmao,26,1662900736.0
inzg6h2,monza,plan explode question,28,1662902829.0
inziiq8,monza,mclaren telling daniel hold gasly norris position radio right,28,1662903859.0
inziw16,monza,mclaren desperate get rid riccairdo pay point screwing every race rest season,25,1662904011.0
inzkjus,monza,mclaren hey ric please fuck ur race help lando also mclaren lol oopsies bad,29,1662904713.0
inzkvjb,monza,nick de vries super impressive weekend great pace,26,1662904844.0
inzo4ce,monza,going motor racing today bois,28,1662906134.0
