politics,formula1,27
politics,formula1,9
politics,formula1,4
politics,politics,31
politics,formula1,258
politics,formula1,6
politics,politics,7
politics,formula1,3982
politics,formula1,6
politics,politics,2240
politics,formula1,4
politics,politics,3
politics,formula1,215
politics,politics,5
politics,politics,54
politics,formula1,139
politics,formula1,120
formula1,formula1,26
politics,formula1,18
politics,formula1,124
politics,politics,13
politics,formula1,9
politics,politics,11
politics,formula1,7
politics,formula1,7
politics,formula1,557
politics,politics,5
politics,formula1,6
politics,formula1,199
politics,politics,2
politics,politics,2
politics,formula1,155
politics,politics,33
politics,politics,11
politics,politics,2
politics,politics,11
politics,formula1,44
politics,formula1,11
politics,politics,8
politics,formula1,2
politics,politics,10
politics,formula1,3
politics,politics,6
politics,formula1,11
politics,formula1,70
politics,formula1,9
politics,politics,8095
politics,formula1,68
politics,formula1,22
politics,politics,4323
politics,formula1,1
politics,politics,9
politics,formula1,11
politics,politics,2
politics,politics,6
politics,politics,49
politics,formula1,86
politics,politics,3
politics,politics,70
politics,formula1,13
politics,politics,18
politics,formula1,260
politics,formula1,66
formula1,formula1,36
politics,formula1,46
politics,politics,15
politics,formula1,24
politics,formula1,11
politics,formula1,3
formula1,formula1,5
formula1,formula1,11
politics,politics,5
politics,politics,14
formula1,formula1,76
formula1,formula1,32
politics,politics,2450
politics,formula1,533
politics,politics,3
politics,formula1,775
politics,formula1,16
politics,politics,5
politics,politics,100
politics,formula1,1
politics,politics,50
politics,formula1,8
politics,formula1,321
politics,formula1,22
politics,formula1,3
politics,formula1,102
politics,politics,3
politics,formula1,9
politics,politics,49
politics,formula1,5
politics,formula1,4
politics,politics,10
politics,politics,98
politics,formula1,42
politics,formula1,3
politics,politics,4
politics,politics,133
politics,politics,5
formula1,formula1,4
politics,politics,2
politics,formula1,3
politics,politics,117
politics,formula1,2
politics,politics,7
politics,formula1,23
politics,formula1,3
politics,formula1,38
politics,formula1,12852
politics,politics,15
politics,politics,3
politics,formula1,1
politics,politics,17
formula1,formula1,1
politics,politics,82
politics,politics,4
politics,formula1,9
formula1,formula1,2
politics,formula1,4
politics,politics,4
politics,politics,2
politics,formula1,8
politics,politics,2
politics,formula1,633
politics,formula1,3
politics,formula1,11
politics,politics,5
politics,formula1,8
politics,formula1,3
politics,politics,15
politics,politics,3
politics,politics,82
formula1,formula1,4
politics,formula1,7
politics,politics,9
politics,formula1,5
politics,formula1,29
politics,formula1,2
politics,formula1,114
politics,formula1,12
politics,politics,529
politics,politics,2
politics,politics,5
politics,politics,2
politics,politics,5
politics,formula1,2
politics,politics,13
politics,formula1,1
politics,formula1,4
politics,politics,3
politics,politics,3
politics,formula1,4
formula1,formula1,321
politics,politics,2
politics,politics,39
politics,politics,46
politics,formula1,4
formula1,formula1,6
politics,formula1,5
politics,politics,2
politics,politics,297
politics,politics,4
politics,politics,19
politics,politics,5
politics,formula1,4
politics,politics,29
politics,formula1,6
politics,politics,11
politics,formula1,3
politics,politics,7
politics,politics,2
politics,politics,12
politics,politics,36
politics,politics,423
politics,formula1,10
politics,politics,27
formula1,formula1,3
politics,politics,321
politics,politics,188
politics,politics,10
politics,politics,64
politics,politics,22
politics,formula1,56
politics,formula1,149
politics,politics,41
politics,politics,68
politics,politics,2
politics,formula1,22
politics,politics,459
politics,politics,80
politics,politics,2
politics,politics,37
politics,politics,3
politics,formula1,4
politics,politics,48
formula1,formula1,1
politics,formula1,86
politics,formula1,1993
politics,formula1,73
politics,politics,14
politics,politics,18
politics,politics,37
politics,politics,11
politics,formula1,13
politics,politics,7
politics,politics,51
politics,formula1,8
politics,politics,10
politics,formula1,27
politics,formula1,148
politics,formula1,38
politics,formula1,2
politics,formula1,10
politics,formula1,2
politics,politics,3
politics,politics,2
politics,politics,2
formula1,politics,16
politics,politics,26
politics,formula1,211
politics,formula1,386
